data,nauczyciele_covid,uczniowie_covid,uczniowie_kwar,nauczyciele_kwar,przypadki_kwar,przypadki_sum,p_uczniowie,p_nauczyciele,p_razem,k_uczniowie,k_nauczyciele,k_razem
2020-09-08,16,49,544,91,2685,2838,0.01726568005637773,0.005637773079633545,0.022903453136011276,0.20260707635009312,0.03389199255121043,0.23649906890130354
2020-09-09,15,48,618,118,2839,2876,0.016689847009735744,0.00521557719054242,0.021905424200278165,0.21768228249383587,0.041563930961606196,0.2592462134554421
2020-09-10,15,50,772,141,2957,2908,0.0171939477303989,0.00515818431911967,0.02235213204951857,0.26107541427122083,0.047683462969225564,0.30875887724044637
2020-09-11,14,55,911,161,3277,2947,0.018663047166610113,0.004750593824228029,0.02341364099083814,0.27799816905706437,0.049130302105584375,0.32712847116264876
2020-09-14,19,75,1160,179,3340,3127,0.023984649824112567,0.006076111288775184,0.030060761112887753,0.3473053892215569,0.053592814371257486,0.40089820359281436
2020-09-15,19,80,1204,181,3578,3168,0.025252525252525252,0.005997474747474747,0.03125,0.33650083845723866,0.05058692006707658,0.38708775852431526
2020-09-16,20,80,1391,203,4190,3221,0.024837007140639553,0.006209251785159888,0.03104625892579944,0.33198090692124105,0.04844868735083532,0.3804295942720764
2020-09-17,24,81,1620,222,4640,3355,0.024143070044709388,0.007153502235469449,0.03129657228017884,0.34913793103448276,0.047844827586206895,0.39698275862068966
2020-09-18,27,83,1662,239,4901,3428,0.024212368728121353,0.007876312718786464,0.03208868144690782,0.33911446643542137,0.048765558049377676,0.387880024484799
2020-09-21,45,82,2398,328,4901,3669,0.022349414009266832,0.012264922322158627,0.03461433633142546,0.48928790042848397,0.0669251173229953,0.5562130177514792
2020-09-22,48,77,2657,361,6273,3752,0.020522388059701493,0.01279317697228145,0.03331556503198294,0.4235612944364738,0.05754822254104894,0.4811095169775227
2020-09-23,62,89,2472,351,6680,3866,0.023021210553543715,0.01603724780134506,0.039058458354888775,0.37005988023952097,0.05254491017964072,0.42260479041916166
2020-09-24,70,96,3206,525,7639,4009,0.02394612122723871,0.017460713394861563,0.04140683462210028,0.41968844089540513,0.06872627307239168,0.48841471396779684
2020-09-25,74,94,2803,456,8038,4137,0.022721779066956733,0.01788735798888083,0.04060913705583756,0.34871858671311273,0.05673052998258273,0.40544911669569544
2020-09-28,86,121,2021,317,7573,4629,0.02613955497947721,0.018578526679628428,0.04471808165910564,0.26686914036709364,0.04185923676218144,0.30872837712927503
2020-09-29,78,117,2061,254,7454,4756,0.024600504625735913,0.016400336417157275,0.041000841042893185,0.2764958411591092,0.03407566407298095,0.31057150523209015
2020-09-30,75,120,2368,281,6610,4950,0.024242424242424242,0.015151515151515152,0.03939393939393939,0.3582450832072617,0.042511346444780634,0.40075642965204233
2020-10-01,77,120,2651,307,7625,5130,0.023391812865497075,0.015009746588693957,0.038401559454191034,0.347672131147541,0.040262295081967214,0.3879344262295082
2020-10-02,78,123,2809,288,9109,5358,0.02295632698768197,0.014557670772676373,0.037513997760358346,0.3083763311011088,0.031617082006806456,0.33999341310791525
2020-10-05,85,122,3245,313,9386,6027,0.02024224323875892,0.01410320225651236,0.03434544549527128,0.3457276795226934,0.03334753888770509,0.3790752184103985
2020-10-06,90,117,3229,291,8778,6226,0.018792161901702537,0.014455509155155798,0.03324767105685834,0.3678514467988152,0.03315105946684894,0.40100250626566414
2020-10-07,91,116,3222,350,8455,6419,0.01807135067767565,0.014176663031624863,0.03224801370930051,0.3810762862211709,0.04139562389118864,0.42247191011235957
2020-10-08,101,106,3707,455,9684,6732,0.01574569221628045,0.015002970885323827,0.03074866310160428,0.38279636513837256,0.046984717059066504,0.4297810821974391
2020-10-09,107,118,3839,474,12049,7120,0.01657303370786517,0.015028089887640449,0.03160112359550562,0.3186156527512657,0.039339364262594406,0.35795501701386007
2020-10-12,123,120,3185,331,11543,8097,0.014820303816228233,0.015190811411633939,0.03001111522786217,0.2759248029108551,0.028675387680845533,0.30460019059170057
2020-10-14,128,126,3664,369,12229,8759,0.014385203790387031,0.014613540358488412,0.028998744148875443,0.2996156676751983,0.03017417613868673,0.32978984381388504
